Name,Rate
AED,3.67289
AFN,70.98764
ALL,89.68103
AMD,388.2519
AOA,900.5
ARS,943.9873
AUD,1.486015
AWG,1.8
AZN,1.7
BAM,1.756097
BBD,2.020625
BDT,119.5902
BGN,1.755901
BHD,0.3767891
BIF,2890.596
BMD,1
BND,1.308504
BOB,6.915624
BRL,5.4836
BSD,1.000795
BTN,84.00733
BWP,13.36147
BYN,3.275075
BZD,2.017213
CAD,1.35878
CDF,2876
CHF,0.85217
CLP,916.36
CNY,7.1388
COP,4029.16
CRC,526.2567
CUP,24.0149
CVE,99.00603
CZK,22.527
DJF,178.2062
DKK,6.70045
DOP,59.79061
DZD,133.8684
EGP,48.8123
ETB,109.3343
EUR,0.897935
FJD,2.2159
GBP,0.76274
GEL,2.705
GHS,15.58664
GMD,69.5
GNF,8626.046
GTQ,7.749704
GYD,209.3723
HKD,7.796365
HNL,24.79618
HTG,131.9997
HUF,353.94
IDR,15622.1
ILS,3.72105
INR,83.935
IQD,1311.012
IRR,42092.5
ISK,136.78
JMD,156.727
JOD,0.7087
JPY,146.1115
KES,129.1
KGS,85.4969
KHR,4088.119
KRW,1338.89
KWD,0.30564
KYD,0.8339581
KZT,479.7658
LAK,22091.83
LBP,89617.58
LKR,301.3774
LRD,195.1495
LSL,17.96879
LYD,4.783069
MAD,9.668717
MDL,17.43788
MGA,4559.515
MKD,55.33056
MMK,3247.961
MOP,8.036652
MRU,39.62935
MUR,46.05
MVR,15.39
MWK,1735.281
MXN,19.31855
MYR,4.378
MZN,63.695
NAD,17.96879
NGN,1575.58
NIO,36.84066
NOK,10.55718
NPR,134.412
NZD,1.626215
OMR,0.3849477
PAB,1.000705
PEN,3.753474
PGK,3.950263
PHP,56.419
PKR,278.8252
PLN,3.845332
PYG,7590.777
QAR,3.649212
RON,4.46925
RSD,105.125
RUB,91.24672
RWF,1324.851
SAR,3.752284
SBD,8.548414
SCR,13.29806
SDG,601.5
SEK,10.22995
SGD,1.308235
SLL,19750
SOS,571.9545
SRD,28.828
SZL,17.96502
THB,34.4
TJS,10.66804
TMT,3.505
TND,3.036041
TOP,2.3487
TRY,33.9334
TTD,6.793479
TWD,31.798
TZS,2710
UAH,41.34513
UGX,3718.203
USD,1.0
UYU,40.30636
UZS,12653.99
VND,24972.5
XAF,588.981
XCD,2.70255
XPF,107.0831
YER,250.35
ZAR,17.9829
ZMW,26.04448
