Name,Rate,Date
Select,0,20240822
USD,1,20240822
AED,3.6725,20240822
AFN,70.6295,20240822
ALL,89.6145,20240822
AMD,388.2668,20240822
ANG,1.79,20240822
AOA,909.5073,20240822
ARS,945.33,20240822
AUD,1.4823,20240822
AWG,1.79,20240822
AZN,1.6996,20240822
BAM,1.7559,20240822
BBD,2,20240822
BDT,119.2299,20240822
BGN,1.7563,20240822
BHD,0.376,20240822
BIF,2879.3435,20240822
BMD,1,20240822
BND,1.3058,20240822
BOB,6.917,20240822
BRL,5.4772,20240822
BSD,1,20240822
BTN,83.9098,20240822
BWP,13.3296,20240822
BYN,3.2307,20240822
BZD,2,20240822
CAD,1.3588,20240822
CDF,2841.619,20240822
CHF,0.8523,20240822
CLP,924.1138,20240822
CNY,7.1322,20240822
COP,4007.6276,20240822
CRC,519.9122,20240822
CUP,24,20240822
CVE,98.9918,20240822
CZK,22.5251,20240822
DJF,177.721,20240822
DKK,6.6944,20240822
DOP,59.6468,20240822
DZD,133.9334,20240822
EGP,48.8006,20240822
ERN,15,20240822
ETB,109.0715,20240822
EUR,0.8978,20240822
FJD,2.2154,20240822
FKP,0.7649,20240822
FOK,6.6945,20240822
GBP,0.7649,20240822
GEL,2.7045,20240822
GGP,0.7649,20240822
GHS,15.6509,20240822
GIP,0.7649,20240822
GMD,70.3703,20240822
GNF,8642.0814,20240822
GTQ,7.7317,20240822
GYD,208.9767,20240822
HKD,7.7934,20240822
HNL,24.7396,20240822
HRK,6.7642,20240822
HTG,131.6051,20240822
HUF,352.3341,20240822
IDR,15484.3505,20240822
ILS,3.7208,20240822
IMP,0.7649,20240822
INR,83.9023,20240822
IQD,1308.195,20240822
IRR,42007.0019,20240822
ISK,137.1181,20240822
JEP,0.7649,20240822
JMD,157.1956,20240822
JOD,0.709,20240822
JPY,145.3125,20240822
KES,128.8197,20240822
KGS,85.6986,20240822
KHR,4074.8946,20240822
KID,1.4823,20240822
KMF,441.6702,20240822
KRW,1334.1831,20240822
KWD,0.3054,20240822
KYD,0.8333,20240822
KZT,478.2838,20240822
LAK,21990.1993,20240822
LBP,89500,20240822
LKR,299.7448,20240822
LRD,194.6205,20240822
LSL,17.8447,20240822
LYD,4.7738,20240822
MAD,9.6874,20240822
MDL,17.4318,20240822
MGA,4563.4267,20240822
MKD,55.3869,20240822
MMK,2098.8341,20240822
MNT,3409.4918,20240822
MOP,8.0273,20240822
MRU,39.7319,20240822
MUR,46.0015,20240822
MVR,15.4337,20240822
MWK,1737.9413,20240822
MXN,19.2645,20240822
MYR,4.3786,20240822
MZN,63.782,20240822
NAD,17.8447,20240822
NGN,1570.7925,20240822
NIO,36.7579,20240822
NOK,10.5006,20240822
NPR,134.2557,20240822
NZD,1.6244,20240822
OMR,0.3845,20240822
PAB,1,20240822
PEN,3.7466,20240822
PGK,3.9172,20240822
PHP,56.4442,20240822
PKR,278.7558,20240822
PLN,3.8448,20240822
PYG,7582.0323,20240822
QAR,3.64,20240822
RON,4.477,20240822
RSD,105.2378,20240822
RUB,91.5537,20240822
RWF,1341.4246,20240822
SAR,3.75,20240822
SBD,8.4922,20240822
SCR,14.4663,20240822
SDG,543.4109,20240822
SEK,10.1994,20240822
SGD,1.3058,20240822
SHP,0.7649,20240822
SLE,22.4148,20240822
SLL,22414.795,20240822
SOS,570.7233,20240822
SRD,29.3465,20240822
SSP,2521.1413,20240822
STN,21.9952,20240822
SYP,12909.6865,20240822
SZL,17.8447,20240822
THB,34.242,20240822
TJS,10.609,20240822
TMT,3.4971,20240822
TND,3.0444,20240822
TOP,2.3282,20240822
TRY,33.9422,20240822
TTD,6.7619,20240822
TVD,1.4823,20240822
TWD,31.8354,20240822
TZS,2697.6045,20240822
UAH,41.3154,20240822
UGX,3718.9431,20240822
UYU,40.2094,20240822
UZS,12630.2761,20240822
VES,36.6484,20240822
VND,24942.2786,20240822
VUV,118.397,20240822
WST,2.6959,20240822
XAF,588.8935,20240822
XCD,2.7,20240822
XDR,0.743,20240822
XOF,588.8935,20240822
XPF,107.1318,20240822
YER,250.0495,20240822
ZAR,17.8428,20240822
ZMW,25.8546,20240822
ZWL,13.8044,20240822
